2026-05-10 | [西4]西雅图海湾人 vs 圣地亚哥[西12] | 0-1 | 1-1
2026-05-10 | [西13]波特兰伐木者 vs 堪萨斯城竞技[西15] | 4-0 | 6-0
2026-05-10 | [西1]圣何塞地震 vs 温哥华白浪[西2] | 1-0 | 1-1
2026-05-10 | [东11]纽约城 vs 哥伦布机员[东12] | 2-0 | 3-0
2026-05-10 | [西5]明尼苏达联 vs 奥斯汀FC[西13] | 0-1 | 2-2
2026-05-10 | [西3]洛杉矶FC vs 休斯敦迪纳摩[西9] | 1-2 | 1-4
2026-05-13 | [东8]夏洛特FC vs 纽约城[东7] | 0-1 | 0-1
2026-05-13 | [东6]辛辛那提 vs 迈阿密国际[东3] | 1-1 | 3-5
2026-05-13 | [东2]新英格兰革命 vs 纳什威尔SC[东1] | 0-2 | 0-3
2026-05-13 | [东11]CF蒙特利尔 vs 波特兰伐木者[西12] | 2-1 | 2-2
2026-05-13 | [东9]纽约红牛 vs 哥伦布机员[东12] | 2-1 | 3-2
2026-05-13 | [东5]华盛顿联 vs 芝加哥火焰[东4] | 1-0 | 1-3
2026-05-13 | [东14]奥兰多城 vs 费城联合[东15] | 2-0 | 4-3
2026-05-13 | [西7]达拉斯FC vs 温哥华白浪[西2] | 1-2 | 2-3
2026-05-13 | [西15]堪萨斯城竞技 vs 洛杉矶银河[西9] | 2-0 | 3-1
2026-05-13 | [西5]明尼苏达联 vs 科罗拉多急流[西11] | 0-1 | 0-1
2026-05-13 | [西14]圣路易斯城 vs 洛杉矶FC[西3] | 1-0 | 2-1
2026-05-13 | [西4]西雅图海湾人 vs 圣何塞地震[西1] | 1-1 | 3-2
2026-05-13 | [西6]皇家盐湖城 vs 休斯敦迪纳摩[西8] | 0-0 | 3-0
2026-05-13 | [西13]圣地亚哥 vs 奥斯汀FC[西10] | 2-0 | 5-0
2026-05-16 | [东11]CF蒙特利尔 vs 芝加哥火焰[东4] | 0-1 | 0-2
2026-05-16 | [东3]新英格兰革命 vs 明尼苏达联[西6] | 1-1 | 2-1
2026-05-16 | [东15]费城联合 vs 哥伦布机员[东13] | 0-1 | 1-1
2026-05-16 | [东7]华盛顿联 vs 圣路易斯城[西14] | 0-0 | 1-1
2026-05-16 | [东12]奥兰多城 vs 亚特兰大联[东14] | 1-0 | 1-1
2026-05-16 | [东6]纽约红牛 vs 纽约城[东5] | 1-0 | 1-1
2026-05-16 | [东9]夏洛特FC vs 多伦多FC[东10] | 2-1 | 3-1
2026-05-16 | [西13]奥斯汀FC vs 堪萨斯城竞技[西15] | 1-0 | 1-2
2026-05-16 | [西8]休斯敦迪纳摩 vs 温哥华白浪[西1] | 0-0 | 1-0
2026-05-16 | [西3]西雅图海湾人 vs 洛杉矶银河[西11] | 0-1 | 0-2
2026-05-16 | [西4]皇家盐湖城 vs 科罗拉多急流[西9] | 1-1 | 2-1
2026-05-16 | [西10]圣地亚哥 vs 辛辛那提[东8] | 1-1 | 3-3
2026-05-17 | [西2]圣何塞地震 vs 达拉斯FC[西7] | 1-1 | 2-3
2026-05-17 | [东3]迈阿密国际 vs 波特兰伐木者[西12] | 2-0 | 2-0
2026-05-17 | [东1]纳什威尔SC vs 洛杉矶FC[西7] | 2-1 | 3-2
2026-05-23 | [西14]圣路易斯城 vs 奥斯汀FC[西13] | 1-0 | 3-0
2026-05-23 | [西8]明尼苏达联 vs 皇家盐湖城[西3] | 0-1 | 1-1
2026-05-23 | [东9]辛辛那提 vs 奥兰多城[东10] | 2-1 | 6-2
2026-05-23 | [东7]夏洛特FC vs 新英格兰革命[东3] | 1-0 | 1-0
2026-05-23 | [东8]华盛顿联 vs CF蒙特利尔[东12] | 2-1 | 4-4
2026-05-23 | [东4]芝加哥火焰 vs 多伦多FC[东11] | 1-1 | 2-1
2026-05-23 | [西15]堪萨斯城竞技 vs 纽约红牛[东6] | 0-2 | 1-2
2026-05-23 | [东1]纳什威尔SC vs 纽约城[东5] | 1-1 | 2-1
2026-05-23 | [西10]圣地亚哥 vs 温哥华白浪[西1] | 0-2 | 2-4
