date,no,league,lgc,lam,xg_h,xg_a,shot_h,shot_a,sot_h,sot_a,cor_h,cor_a,big_h,big_a,inj_h,inj_a,temp,rain,rank_gap,h2h_edge,xg_diff,shot_diff,sot_diff,cor_diff,big_diff,inj_diff,act,act_dir,act_htft,act_balls,act_h,act_a,act_hh,act_ha,v11_dir_hit,v11_score_hit,v11_ht_hit,v11_ou_hit
2026-08-07,004,挪超,lg-nor,,1.33,2.25,19.0,16.0,,,,,,,,,,,,,-0.9199999999999999,3.0,,,,,0-1（0-1）,客胜,负负,1,0,1,0.0,1.0,no,no,no,
2026-08-07,005,荷甲,lg-ered,,0.72,2.87,11.0,18.0,,,,,,,,,,,,,-2.1500000000000004,-7.0,,,,,0-4（0-3）,客胜,负负,4,0,4,0.0,3.0,ok,no,ok,
2026-08-07,006,荷乙,lg-eers,,,,14.0,27.0,4.0,7.0,,,,,,,,,,,,-13.0,-3.0,,,,1-2（1-0）,客胜,胜负,3,1,2,1.0,0.0,ok,ok,no,
2026-08-07,007,荷乙,lg-eers,,,,15.0,9.0,7.0,4.0,,,,,,,,,,,,6.0,3.0,,,,1-0（0-0）,主胜,平胜,1,1,0,0.0,0.0,no,no,no,
2026-08-07,008,德乙,lg-bundes2,,1.16,0.74,13.0,11.0,,,,,,,,,,,,,0.41999999999999993,2.0,,,,,0-1（0-1）,客胜,负负,1,0,1,0.0,1.0,no,no,no,
2026-08-07,009,英联杯,lg-champ,,1.63,1.59,13.0,11.0,,,,,,,,,,,,,0.039999999999999813,2.0,,,,,1-0（0-0）,主胜,平胜,1,1,0,0.0,0.0,ok,ok,ok,
2026-08-07,010,葡超,lg-prime,,1.06,1.47,14.0,6.0,,,,,,,,,,,,,-0.4099999999999999,8.0,,,,,1-1（0-1）,平,负平,2,1,1,0.0,1.0,no,no,no,
2026-08-07,011,巴西杯,lg-bras,,,,16.0,14.0,9.0,3.0,,,,,,,,,,,,2.0,6.0,,,,4-0（2-0）,主胜,胜胜,4,4,0,2.0,0.0,no,no,no,
2026-08-07,012,欧联资格赛,lg-uel,,,,,,,,,,,,,,,,,,,,,,,,2-1（2-1）,主胜,胜胜,3,2,1,2.0,1.0,ok,no,ok,
2026-08-07,013,欧联资格赛,lg-uel,,,,,,2.0,2.0,5.0,1.0,,,,,,,,,,,0.0,4.0,,,0-1（0-1）,客胜,负负,1,0,1,0.0,1.0,no,no,no,
2026-08-07,014,欧联资格赛,lg-uel,,,,,,,,,,,,,,,,,,,,,,,,6-1（3-0）,主胜,胜胜,7,6,1,3.0,0.0,ok,no,ok,
2026-08-08,001,日职联,lg-j1,,0.78,1.35,6.0,17.0,,,,,,,,,,,,,-0.5700000000000001,-11.0,,,,,2-1（2-1）,主胜,胜胜,3,2,1,2.0,1.0,ok,ok,ok,
2026-08-08,002,日职乙,lg-j2,,,,9.0,8.0,2.0,4.0,2.0,6.0,,,,,,,,,,1.0,-2.0,-4.0,,,1-0（1-0）,主胜,胜胜,1,1,0,1.0,0.0,ok,ok,ok,
2026-08-08,003,韩职,lg-k1,,2.05,2.66,23.0,21.0,,,,,,,,,,,,,-0.6100000000000003,2.0,,,,,1-2（0-2）,客胜,负负,3,1,2,0.0,2.0,no,no,no,
2026-08-08,004,韩职,lg-k1,,3.75,1.85,39.0,10.0,,,,,,,,,,,,,1.9,29.0,,,,,1-3（0-1）,客胜,负负,4,1,3,0.0,1.0,no,no,no,
2026-08-08,005,韩职,lg-k1,,0.64,0.63,7.0,5.0,,,,,,,,,,,,,0.010000000000000009,2.0,,,,,0-0（0-0）,平,平平,0,0,0,0.0,0.0,ok,no,ok,
2026-08-08,006,挪超,lg-nor,,1.44,2.47,15.0,14.0,,,,,,,,,,,,,-1.0300000000000002,1.0,,,,,1-2（0-1）,客胜,负负,3,1,2,0.0,1.0,ok,ok,ok,
2026-08-08,007,英联杯,lg-champ,,0.97,1.16,12.0,6.0,,,,,,,,,,,,,-0.18999999999999995,6.0,,,,,1-1（0-0）,平,平平,2,1,1,0.0,0.0,ok,ok,ok,
2026-08-08,008,瑞超,lg-swe,,1.44,2.82,8.0,18.0,,,,,,,,,,,,,-1.38,-10.0,,,,,3-4（2-1）,客胜,胜负,7,3,4,2.0,1.0,no,no,no,
2026-08-08,009,英联杯,lg-champ,,2.07,0.6,12.0,12.0,,,,,,,,,,,,,1.4699999999999998,0.0,,,,,3-1（2-1）,主胜,胜胜,4,3,1,2.0,1.0,ok,no,ok,
2026-08-08,010,英联杯,lg-champ,,1.37,0.59,14.0,6.0,,,,,,,,,,,,,0.7800000000000001,8.0,,,,,0-1（0-1）,客胜,负负,1,0,1,0.0,1.0,ok,ok,ok,
2026-08-08,011,挪超,lg-nor,,2.74,2.58,17.0,24.0,,,,,,,,,,,,,0.16000000000000014,-7.0,,,,,2-1（1-0）,主胜,胜胜,3,2,1,1.0,0.0,ok,ok,ok,
2026-08-08,012,荷甲,lg-ered,,2.15,1.66,27.0,8.0,,,,,,,,,,,,,0.49,19.0,,,,,1-2（0-2）,客胜,负负,3,1,2,0.0,2.0,no,no,no,
2026-08-08,013,葡超,lg-prime,,1.39,0.67,16.0,9.0,,,,,,,,,,,,,0.7199999999999999,7.0,,,,,1-0（0-0）,主胜,平胜,1,1,0,0.0,0.0,ok,ok,ok,
