date,no,league,lgc,lam,xg_h,xg_a,shot_h,shot_a,sot_h,sot_a,cor_h,cor_a,big_h,big_a,inj_h,inj_a,temp,rain,rank_gap,h2h_edge,xg_diff,shot_diff,sot_diff,cor_diff,big_diff,inj_diff,act,act_dir,act_htft,act_balls,act_h,act_a,act_hh,act_ha,v11_dir_hit,v11_score_hit,v11_ht_hit,v11_ou_hit,hm_n_h,hm_fh_sc_h,hm_fh_cc_h,hm_ht_lead_h,hm_ht_trail_h,hm_first_min_h,hm_fh_share_h,hm_n_a,hm_fh_sc_a,hm_fh_cc_a,hm_ht_lead_a,hm_ht_trail_a,hm_first_min_a,hm_fh_share_a,hm_fh_sc_diff,hm_fh_cc_diff,hm_ht_lead_diff,hm_ht_trail_diff,hm_first_min_diff,hm_fh_share_diff,lam_h,lam_a,rain_p,h2h_wr,form5_w,form5_d,form5_l,form_gf,form_ga,lam_sum
2026-08-04,001,芬超,lg-fin,,,,8.0,19.0,4.0,6.0,,,,,,,,,,,,-11.0,-2.0,,,,3-0（0-0）,主胜,平胜,3,3,0,0.0,0.0,no,no,ok,,0,,,,,,,1,1.0,0.0,1.0,0.0,16.0,1.0,,,,,,,,,,,,,,,,
2026-08-04,002,瑞超,lg-swe,,0.73,2.6,14.0,19.0,,,,,,,,,,,,,-1.87,-5.0,,,,,0-2（0-2）,客胜,负负,2,0,2,0.0,2.0,ok,ok,ok,,1,1.0,0.0,0.0,0.0,2.0,1.0,1,2.0,1.0,1.0,0.0,6.0,0.333,-1.0,-1.0,-1.0,0.0,-4.0,0.667,,,,,,,,,,
2026-08-04,003,瑞超,lg-swe,,,,15.0,5.0,11.0,1.0,,,,,,,18.0,,7.0,0.16,,10.0,10.0,,,,6-0（3-0）,主胜,胜胜,6,6,0,3.0,0.0,ok,no,ok,,1,1.0,0.0,1.0,0.0,43.0,1.0,1,1.0,0.0,1.0,0.0,14.0,0.5,0.0,0.0,0.0,0.0,29.0,0.5,,,,0.52,,,,,,
2026-08-04,004,巴西杯,lg-bras,,,,21.0,4.0,5.0,1.0,,,,,,,,,,,,17.0,4.0,,,,2-0（1-0）,主胜,胜胜,2,2,0,1.0,0.0,ok,ok,ok,,3,0.333,0.333,0.333,0.333,10.0,0.25,2,0.0,1.0,0.0,0.5,1.0,0.0,0.333,-0.667,0.333,-0.167,9.0,0.25,,,,,,,,,,
2026-08-07,001,日职联,lg-j1,,1.46,3.44,11.0,21.0,,,,,,,,,,,,,-1.98,-10.0,,,,,3-4（2-1）,客胜,胜负,7,3,4,2.0,1.0,ok,no,no,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
2026-08-07,002,日职联,lg-j1,,1.08,3.2,12.0,19.0,,,,,,,,,27.0,,,0.2,-2.12,-7.0,,,,,4-3（2-1）,主胜,胜胜,7,4,3,2.0,1.0,no,no,no,,0,,,,,,,0,,,,,,,,,,,,,2.0,1.5,63.0,0.4,,,,,,3.5
2026-08-07,003,芬超,lg-fin,,,,23.0,8.0,6.0,3.0,,,,,,,,,,,,15.0,3.0,,,,2-2（1-2）,平,负平,4,2,2,1.0,2.0,ok,no,no,,1,0.0,0.0,0.0,0.0,56.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,
2026-08-07,004,挪超,lg-nor,,1.33,2.25,19.0,16.0,,,,,,,,,,,,,-0.92,3.0,,,,,0-1（0-1）,客胜,负负,1,0,1,0.0,1.0,no,no,no,,1,0.0,2.0,0.0,1.0,2.0,,2,1.5,1.5,0.5,0.0,1.5,0.75,-1.5,0.5,-0.5,1.0,0.5,,,,,,,,,,,
2026-08-07,005,荷甲,lg-ered,,0.72,2.87,11.0,18.0,,,,,,,,,,,,,-2.1500000000000004,-7.0,,,,,0-4（0-3）,客胜,负负,4,0,4,0.0,3.0,ok,no,ok,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
2026-08-07,006,荷乙,lg-eers,,,,14.0,27.0,4.0,7.0,,,,,,,,,,,,-13.0,-3.0,,,,1-2（1-0）,客胜,胜负,3,1,2,1.0,0.0,ok,ok,no,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
